,Text
188,"@lucianmiers @davidealgebris he does own a 12 billion dollar asset manager outright...

https://t.co/yKUayadQ8A

Su… https://t.co/odY20UwoCk"
189,@hindsight_is_ @colin_colt @davidealgebris And you can't get much more establishment than owning a 12 billion dolla… https://t.co/CcMjcMi3yQ
190,@dougboneparth that is a path in Australia where you are down to single-digit cases. I think that is an option for… https://t.co/FMMGv8RjwN
191,@LarissaMVLopez @jez79001949 @davidealgebris https://t.co/cUCH56MnTF
192,"@fichtner_jan @stevehouf @adam_tooze All post the failed takeover by Porsche, but yes. Also because the State did not object."
193,"@LarissaMVLopez @jez79001949 @davidealgebris found script on web, sorry, do not remember."
194,"@inklessPW @davidealgebris yes, @bhagdip143"
195,@hindsight_is_ @colin_colt @davidealgebris He organised a massive conference that was (a) a dominant thought leadin… https://t.co/ug0STjRQDt
196,@simonahac @LaTrioli I was sitting at a cafe and Peter Jackson and Sean Connery came in.
197,@fichtner_jan @stevehouf @adam_tooze Porsche SE is mostly cross-held by VW. It is the mechanism by which the famili… https://t.co/Y555b2Ym3m
198,"@colin_colt @davidealgebris I think he is a destructive idiot, but I still regret being blocked."
199,"@colin_colt @davidealgebris Yes, for a while he was THE establishment in European banking.

His investment banking… https://t.co/oQgXFYiyu6"
200,@Frank_ThomasIV maybe but also maybe given the selective enforcement a user libel becomes a platform libel
201,"RT @Goodable: BREAKING GOOD NEWS ALERT:

New Zealand has announced it no longer has any patients in hospital being treated for coronavirus.…"
202,"in the long run, platforms moderating content will be found liable for harmful user-generated content that they failed to moderate"
203,@recepivedik1111 nice
204,Tuesday Morning filing for Chapter 11 on Wednesday morning...  I knew they were up to no good when they reported ea… https://t.co/USac3Zp74S
205,RT @BankruptcyData: Tuesday Morning $TUES joins the growing number of #retail bankruptcy filers- the commercial real estate world has to be…
206,"RT @Street_Insider: Twitter $TWTR shares fall 2% after Trump said ""we will strongly regulate or close down social media before we can ever…"
207,The American Eater Wins Again https://t.co/P3WoDb3s7u
208,"RT @GregDaco: Skipping rent: 3/4 of store owners in malls skipped their rent payments in April

via @SoberLook @TheCoStarGroup https://t.co…"
209,RT @SallyMayweather: https://t.co/gXwYD8w8ls
210,RT @darrenrovell: White Claw passes the $1 billion mark in annual sales (via @Bevnet) https://t.co/c7BArWgC6V
